1,177,30.83669324027476
2,354,27.436387547818157
3,531,47.11312575661665
4,708,23.040002360344083
5,885,38.7277384915501
6,1062,21.691043458417557
7,1239,57.615322389891375
8,1416,103.23264173334204
9,1593,199.38164182513958
10,1770,653.4191220118781
11,1947,154.22059297598915
12,2124,139.9107237897253
13,2301,135.38483364248881
14,2478,137.1775210432998
15,2655,117.67614142540367
16,2832,134.6950982738885
17,3009,131.03131601257192
18,3186,134.23660068144835
19,3363,126.79881364271162
20,3540,129.38689785438498
21,3717,138.5899906810874
22,3894,136.59742812581243
23,4071,139.72643430985218
24,4248,114.2880977492295
25,4425,122.95071876427362
26,4602,134.50417717937148
27,4779,128.94951066817856
28,4956,129.33293574534778
29,5133,121.35219298400538
30,5310,126.49649135138797
